0x81dfc737c3e8334e92623c96ef7b2e13afb1b0e365ea1e27767a9e59053fa99d,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,5598,0.933
0x2b63179f06ecfc19089d89b0b96acfe9e3d8bc7a66bdcd4ebb7dad5177bc9b1d,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,5598,0.933
0xa1695834cc5f3ebde4f681fc949149b8ce493c0edcdab562759e5ab500c9f301,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,1216.9,0.203
0x172a7729734afce4a72baf333f4b79fcf1d8949f818601d559416a88a66d62be,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,2714.9,0.452
0xe60c5bdc53f13a135bde4c9c092a6eb5247254a2df1ad2b81765ef9dbb0a1c10,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,3696.9,0.616
0x8a6d65aea9eca062237cbd24ead3829187677625391f1707fe09cdfe2de82c08,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,50052.9,8.342
0x0472561fd1692a0df1b41205b6ff435aaca64d0216fd6a52734da87caf13648c,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,2034,0.339
0x38308f62631ae442bde2a9e13231acb0bc00e0e28b46c31c3aaab174a1dee7d9,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,29998,5.000
0x8789a80e824eefad5a0da64789b84940a75efb74267cde88faf9f91811f34e24,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,5698.9,0.950
0x74dd601cfd19a8a26ce938aa9ac6689dc0de80ca5e4d4f32bc1be3e0edb96b4a,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,3160.5,0.527
0x966d24c96fd3c68efeb5b2dd83e463559d3ccf9cd729cfa8cac0f3454d34ed3d,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,1987,0.331
0x79dcb6c98eedee2de3fc5ddbbb71aed99728acb610ff5d9fc7e21fbaceee3eb5,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,142010.4,23.668
0xa202f4a3f5d1e471cf5e60e73da11a82274961a60ee0010b937b02d12b817d05,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,45782.9,7.630
0x776abe7b818bdb1b4df72c347509e4b010de8f2ee521029616d19371f0314dff,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,11331.07,1.889
0xd9e059abd37b630c40e1fe27eca97be78628b117020e49914a24ad50dafb02f8,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,16798.9,2.800
0x24fbc8a36af86452a2446a80c52204c8d09c1b3d50646c097c8968e3fa6f7f28,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,5039,0.840
0xf286035a3a425c18f33770534b4a0808caf27ebd1c9d5e4368afdc5cca767939,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,14042,2.340
0xc264ea0ca42ddc8f00731cc862bf91944af480fad897624adac25c3753c206f4,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,398.98,0.066
0x32aab0505a2d1d3446c529daf985de009977dcaf2f302d1a8bc974eb5d56615a,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,999,0.167
0x149f6334f585f1bb5029424798d8aabec63c818b593675931e361fe917200c34,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,16778,2.796
0x3d481d208208a321386f785a3d1b0fabbd6303859217ad8a082514e6a09d2423,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,16420,2.737
